idx,bbox_1,bbox_2,bbox_3,bbox_4,bbox_5,bbox_6,bbox_7,bbox_8,bbox_9,bbox_10,bbox_11,bbox_12,bbox_13,bbox_14,bbox_15,bbox_16,bbox_17,bbox_18,bbox_19,bbox_20,bbox_21,bbox_22,bbox_23,bbox_24,bbox_25,bbox_26,bbox_27,bbox_28,source
00001,467.965437788018,521.052995391705,84.7396313364056,120.13133640553,591.836405529954,712.758064516129,476.997695852535,606.767281105991,,,,,,,,,,,,,,,,,,,,,MPII: 000001163.jpg
00002,358.841013824885,591.836405529954,78.8410138248848,123.08064516129,512.205069124424,898.564516129032,612.665898617512,597.91935483871,,,,,,,,,,,,,,,,,,,,,MPII: 000003072.jpg
00003,1312.20506912442,471.928571428571,1825.38479262673,1069.16359447005,,,,,,,,,,,,,,,,,,,,,,,,,MPII: 000004812.jpg
00004,852.112903225806,1183.91013824885,7.41244239631328,11.8364055299539,1152.94239631336,1467.04377880184,755.062211981567,909.900921658986,,,,,,,,,,,,,,,,,,,,,MPII: 000005283.jpg
00005,50.6774193548387,9.29032258064518,282.870967741936,475.645161290322,,,,,,,,,,,,,,,,,,,,,,,,,MPII: 000013469.jpg
00006,429.624423963134,223.357142857143,877.91935483871,571.375576036866,,,,,,,,,,,,,,,,,,,,,,,,,MPII: 000015774.jpg
00007,604.370967741935,122.435483870968,1073.31105990783,1073.58755760369,,,,,,,,,,,,,,,,,,,,,,,,,MPII: 000022704.jpg
00008,900.776497695852,294.970046082949,1060.03917050691,799.301843317972,,,,,,,,,,,,,,,,,,,,,,,,,MPII: 000024087.jpg
00009,550.546082949309,40.5,933.956221198157,665.753456221198,,,,,,,,,,,,,,,,,,,,,,,,,MPII: 000024100.jpg
00010,42.527649769585,7.41244239631328,670.730414746544,1073.58755760369,,,,,,,,,,,,,,,,,,,,,,,,,MPII: 000024293.jpg
00011,135.430875576037,436.260368663594,945.016129032258,1382.98847926267,1493.58755760369,104.739631336405,135.707373271889,73.7718894009216,157.827188940092,64.9239631336404,338.933179723502,728.241935483871,1232.57373271889,1520.13133640553,1913.86405529954,706.398617511521,821.421658986175,777.18202764977,710.822580645161,1073.58755760369,,,,,,,,,MPII: 000025245.jpg
00012,49.1635944700461,187.965437788018,1276.07603686636,609.716589861751,,,,,,,,,,,,,,,,,,,,,,,,,MPII: 000030708.jpg
00013,880.86866359447,423.910138248848,948.702764976959,597.91935483871,,,,,,,,,,,,,,,,,,,,,,,,,MPII: 000030973.jpg
00014,414.877880184332,13.9562211981568,786.490783410138,695.246543778802,,,,,,,,,,,,,,,,,,,,,,,,,MPII: 000033016.jpg
00015,462.066820276498,40.5,700.960829493088,432.758064516129,,,,,,,,,,,,,,,,,,,,,,,,,MPII: 000040154.jpg
00016,172.297235023041,36.2603686635944,473.126728110599,477.18202764977,,,,,,,,,,,,,,,,,,,,,,,,,MPII: 000041029.jpg
00017,675.154377880184,264.002304147465,1175.06221198157,732.942396313364,,,,,,,,,,,,,,,,,,,,,,,,,MPII: 000050999.jpg
00018,223.172811059908,240.86866359447,886.767281105991,394.232718894009,108.334101382489,267.596774193548,302.988479262673,5.10829493087556,344.094470046083,506.306451612903,1034.23271889401,526.951612903226,497.642857142857,680.5,715.891705069124,285.292626728111,,,,,,,,,,,,,MPII: 000055418.jpg
00019,63.910138248848,288.241935483871,211.375576036866,556.629032258065,,,,,,,,,,,,,,,,,,,,,,,,,MPII: 000059794.jpg
00020,719.39400921659,153.403225806452,1121.97465437788,1078.01152073733,,,,,,,,,,,,,,,,,,,,,,,,,MPII: 000061164.jpg
00021,574.140552995392,49.3479262672811,857.274193548387,589.071428571429,,,,,,,,,,,,,,,,,,,,,,,,,MPII: 000065339.jpg
00022,138.380184331797,73.1267281105991,505.569124423963,477.18202764977,,,,,,,,,,,,,,,,,,,,,,,,,MPII: 000071686.jpg
00023,10.8225806451614,355.891705069125,630.177419354839,709.808755760369,75.8917050691244,43.4493087557603,167.320276497696,128.979262672811,255.615207373272,621.329493087558,742.251152073733,851.375576036866,718.841013824885,715.891705069124,538.933179723502,547.781105990783,,,,,,,,,,,,,MPII: 000078951.jpg
00024,146.490783410138,370.638248847926,585.937788018433,810.085253456221,114.232718894009,67.0437788018432,87.6889400921659,69.9930875576036,361.790322580645,636.07603686636,813.034562211982,1090.26958525346,715.891705069124,715.891705069124,718.841013824885,709.993087557604,,,,,,,,,,,,,MPII: 000085370.jpg
00025,719.39400921659,277.274193548387,852.112903225806,821.421658986175,,,,,,,,,,,,,,,,,,,,,,,,,MPII: 000090584.jpg
00026,303.541474654378,608.794930875576,365.753456221198,215.338709677419,807.873271889401,847.688940092166,1073.58755760369,918.748847926267,,,,,,,,,,,,,,,,,,,,,MPII: 000094304.jpg
